ENDPOINT,TOTAL_REQUESTS,SUCCESSFUL_REQUESTS,FAILED_REQUESTS,AVERAGE_RESPONSE_TIME_MS,P95_RESPONSE_TIME_MS,P99_RESPONSE_TIME_MS,PEAK_REQUESTS_PER_MINUTE,UPTIME_PERCENT
/api/auth/register,8520,8450,70,148,185,210,1280,99.18
/api/auth/login,10850,10815,35,130,165,195,1620,99.68
/api/payments/wallet,11230,11200,30,97,125,150,1750,99.73
/api/payments/transfer,6200,6115,85,159,215,280,892,98.63
/api/transactions,13250,13235,15,89,115,135,2100,99.89
/api/users/profile,10200,10175,25,104,140,165,1540,99.76
/api/kyc/verify,1850,1810,40,198,260,320,340,97.84
/api/kyc/upload,1220,1180,40,245,350,420,280,96.72
/api/payments/history,8900,8875,25,112,145,175,1250,99.72
/api/health,52000,52000,0,45,60,75,5000,100.00
TOTAL,124320,123855,465,131,165,205,2100,99.63
