DATE,P2P_TRANSFERS,TOTAL_VOLUME_INR,TOTAL_REVENUE_INR,AVERAGE_TRANSACTION_INR,SUCCESSFUL_TRANSACTIONS,FAILED_TRANSACTIONS,PLATFORM_FEES_COLLECTED
2024-01-01,245,18500,555,75.5,240,5,1850
2024-01-02,312,26800,804,85.9,305,7,2680
2024-01-03,380,35200,1056,92.6,370,10,3520
2024-01-04,465,48900,1467,105.2,450,15,4890
2024-01-05,580,64800,1944,111.7,565,15,6480
2024-01-06,720,86400,2592,120,700,20,8640
2024-01-07,890,115200,3456,129.4,865,25,11520
2024-01-08,1100,154000,4620,140,1070,30,15400
2024-01-09,1350,202500,6075,150,1315,35,20250
2024-01-10,1620,267300,8019,165,1580,40,26730
2024-01-11,1950,341250,10237.5,175,1900,50,34125
2024-01-12,2350,423500,12705,180,2285,65,42350
2024-01-13,2820,532500,15975,189,2740,80,53250
2024-01-14,3380,647400,19422,191.5,3280,100,64740
2024-01-15,4050,784650,23539.5,193.7,3950,100,78465
