DATE,USER_REGISTRATIONS,ACTIVE_USERS,RETURNING_USERS,KYC_COMPLETED,RETENTION_RATE_PERCENT,ENGAGEMENT_SCORE
2024-01-01,145,450,320,85,71,78
2024-01-02,168,520,380,92,73,82
2024-01-03,156,610,455,110,75,85
2024-01-04,182,750,580,135,77,88
2024-01-05,195,920,720,165,79,90
2024-01-06,203,1100,880,195,81,92
2024-01-07,218,1320,1050,230,82,94
2024-01-08,225,1550,1270,270,83,95
2024-01-09,240,1820,1540,310,84,96
2024-01-10,255,2100,1850,355,85,97
2024-01-11,268,2420,2180,405,85,97
2024-01-12,280,2750,2520,460,86,98
2024-01-13,295,3120,2900,520,86,98
2024-01-14,310,3520,3320,585,87,99
2024-01-15,328,3950,3780,655,87,99
